FACILITY,TOTAL REVENUE,Branch
DAISY PHARMACY,40566.11,KORLE-BU WHOLESALE
DOCTORS ON DUTY CLINIC,40527.71,OSU WHOLESALE
OBESTER PHARMACY,40016.55,MALLAM WHOLESALE
FIRST LINE MEDICS LTD,39997.85,MALLAM WHOLESALE
FAUSTINA  TWENEBOAH CHEMICAL,39989.07,MALLAM WHOLESALE
PENTECOST HOSPITAL - AYANFURI,39757.55,OKAISHIE WHOLESALE
HUMTRECON PHARMACY,39722.13,MALLAM WHOLESALE
KASAMS PHARMACY,39608.44,PATASE WHOLESALE
STEPHEN ADABOR OTC LIC. SHOP,39481.02,MALLAM WHOLESALE
EL NHYI PHARMACY LAKESIDE,39444.28,NANAKROM WHOLESALE
VIDAB CHEMICALS,39330.83,DANSOMAN MARKET WHOLESALE
HEALTH TOWER PHARMACY,39325.31,TANTRA HILL WHOLESALE
GEM PHARMACY,39244.16,OSU WHOLESALE
BRIDGE STONE PHARMACY,39141.44,DOME WHOLESALE
FIX ME PHARMACY,39078.70,ASHAIMAN WHOLESALE
SOLUPHARMA PHARMACY,38871.72,DOME WHOLESALE
LOVELIFE PHARMACY LTD-WHOLESALE,38801.65,KUMASI WHOLESALE
ROHI PHARMACY,38687.37,OKAISHIE WHOLESALE
SADAS CHEMIST,38631.55,OSU WHOLESALE
BRIGHT O. A. CHEMICALS,38621.56,ABEKA WHOLESALE
JOYNOC PHARMACEUTICAL LTD,38613.30,OSU WHOLESALE
MAMBA PHARMACY,38385.13,OKAISHIE WHOLESALE
MEGLO PHARMACY,38267.46,MALLAM WHOLESALE
VITAL PHARMACY LTD,38258.72,KUMASI WHOLESALE
FAIRFAX PHARMACY LTD,37925.72,OKAISHIE WHOLESALE
GABBJESS PHARMACY,37908.26,KASOA WHOLESALE
EDMOND AMOAKO CHEMICAL,37884.50,DOME WHOLESALE
SOLOMON OSEI TUTU CHEMICAL SHOP,37859.46,DOME WHOLESALE
LYDWORD CHEMICALS,37772.92,MALLAM WHOLESALE
CARE PLUS PHARMACY LTD-WHOLSALE,37500.00,KUMASI WHOLESALE
PERFBAAB PHARMACEUTICALS LIMITED,37462.35,ABEKA WHOLESALE
J. B CHEMICALS,37424.28,DOME WHOLESALE
EWURAFUA CHEMICAL SHOP,37397.49,DOME WHOLESALE
EMPIRIC PHARMACY,37343.58,NANAKROM WHOLESALE
PRIME PHARMACY-ASHAIMAN,37326.84,TANTRA HILL WHOLESALE
ROKMER CHEMIST,37307.08,MALLAM WHOLESALE
JOEPHARMA LTD,37226.50,OSU WHOLESALE
BETHI [1] CHEMICALS,37038.83,ASHAIMAN WHOLESALE
ROYAL CHARISMA PHARMACY,37023.54,TANTRA HILL WHOLESALE
SNATO PHARMACY,36676.92,OKAISHIE WHOLESALE
RAVIDE PHARMACY,36660.69,DANSOMAN MARKET WHOLESALE
S. O. SARPONG CHEMICAL SHOP,36496.08,ABEKA WHOLESALE
RAHMA GENERAL CLINIC,36393.07,KORLE-BU WHOLESALE
AMSI CHEMICAL,36287.16,OSU WHOLESALE
DOME DERRY PHARMACY,36162.94,KORLE-BU WHOLESALE
HEMINS PHARMACY,35974.97,MALLAM WHOLESALE
DRUG BAG PHARMACY,35914.76,OSU WHOLESALE
KOFI SASU CHEMICAL,35885.53,TANTRA HILL WHOLESALE
RODARCH PHARMACEUTICAL LTD,35884.52,MALLAM WHOLESALE
KAM-AID PHARMACY,35703.97,OSU WHOLESALE
AMPOMA PHARMACY,35698.80,MALLAM WHOLESALE
BRITTS PHARMA LTD,35669.16,DANSOMAN MARKET WHOLESALE
ATBUK PHARMACY,35665.03,DANSOMAN MARKET WHOLESALE
WESTERN TIGERS PHARMACEUTICALS,35593.09,ASHAIMAN WHOLESALE
CINDIKE PHARMACY,35466.71,KUMASI WHOLESALE
NEXT DOOR PHARMACY,35249.47,MALLAM WHOLESALE
MONT-G PHARMACY,35136.08,NANAKROM WHOLESALE
MD PHARMACY LTD,35022.94,TANTRA HILL WHOLESALE
EM'S PHARMACY,34976.78,OSU WHOLESALE
PENTECOST HOSPITAL - TARKWA,34885.71,OKAISHIE WHOLESALE
PROSPER CHEMICAL,34854.49,KASOA WHOLESALE
G. A BOATENG PHARMACY,34842.71,MALLAM WHOLESALE
STRAMARK PHARMACY - KPEDZE,34680.38,OKAISHIE WHOLESALE
N & A PHARMACY - WHOLESALE,34605.45,KUMASI WHOLESALE
JOYNOC PHARMACEUTICAL LTD,34365.57,TANTRA HILL WHOLESALE
LYDWORD CHEMICALS,34228.09,OFANKOR WHOLESALE
MAY CHEMIST,34079.06,MALLAM WHOLESALE
CHATKUKS PHARMACY,34060.44,OSU WHOLESALE
MARGOKIN PHARMACY,34048.91,MALLAM WHOLESALE
JANET KYEI YAMOAH,33910.79,OSU WHOLESALE
3J'S PHARMACY,33735.78,TANTRA HILL WHOLESALE
DELALI G CHEMIST,33720.98,KORLE-BU WHOLESALE
FRIKESS- NA- ROSS VENTURES,33677.28,DANSOMAN MARKET WHOLESALE
BRAZZA MEDICAL CENTER,33631.27,MALLAM WHOLESALE
NOBEL CHEMIST,33418.53,OKAISHIE WHOLESALE
EFFY PHARMA,33355.99,DANSOMAN MARKET WHOLESALE
STRIPES PHARMACY,33355.47,DANSOMAN MARKET WHOLESALE
OKAISHIE PHARMACY,33250.00,OKAISHIE WHOLESALE
ETHICAL PHARMACEUTICAL LTD,33105.32,MALLAM WHOLESALE
GLORIOUS CHEMICALS,33100.49,MALLAM WHOLESALE
FRANSRIGHT PHARMACEUTICAL CENTRE LTD,33090.77,OSU WHOLESALE
LLOYDS PHARMACY,33039.48,OKAISHIE WHOLESALE
POULTICE PHARMACY,32546.40,ABEKA WHOLESALE
ARLIN PHARMACY,32508.80,OSU WHOLESALE
WELLMARK SPECIALIST HOSPITAL,32315.60,NANAKROM WHOLESALE
POST AND PADDOCKS  PHARMACEUTICALS,32314.93,MALLAM WHOLESALE
LYN - NACH MEDICAL CENTRE,32267.30,OFANKOR WHOLESALE
JILIS PHARMACY,32097.39,NANAKROM WHOLESALE
GOLDEN HEALTH PHARMACY,32037.53,DOME WHOLESALE
THE TRUTH PHARMACY - WHOLESALE,32034.59,PATASE WHOLESALE
BALLIS PHARMACY,31918.27,KORLE-BU WHOLESALE
G. A. MINKAH LICENSED CHEMICAL,31681.93,MALLAM WHOLESALE
ROCKMER CHEMIST,31653.50,MALLAM WHOLESALE
ALLY  PHARMACY  LIMITED,31641.50,KASOA WHOLESALE
F K NYAME CHEMICAL SHOP,31482.03,MALLAM WHOLESALE
STEREDA PHARMACEUTICAL LTD-WHOLESALE,31347.71,MALLAM WHOLESALE
JOEPHARMA LTD,31245.12,DOME WHOLESALE
ANDEL PREMIER MEDICAL CENTRE,31125.73,AKUKOR FOTO WHOLESALE
BENALICE PHARMACY,30894.66,TANTRA HILL WHOLESALE
MEDRX CHEMIST,30820.39,DOME WHOLESALE
GILEAD MEDICAL CENTRE,30636.34,MALLAM WHOLESALE
BUCK HOSPITAL,30488.87,TANTRA HILL WHOLESALE
JOS PHARMACY,30457.19,MALLAM WHOLESALE
EBENEZER CHEMISTS,30165.65,OSU WHOLESALE
PASMAX PHARMACY,30108.36,KORLE-BU WHOLESALE
JADET PHARMACY,30079.23,DOME WHOLESALE
ZENITH PHARMACEUTICALS,29903.07,KUMASI WHOLESALE
ITHAN COMPANY LTD - TEMA,29900.00,MALLAM WHOLESALE
JOYWELL PHARMACY,29679.26,MALLAM WHOLESALE
MIDLAND PHARMACY,29591.77,KORLE-BU WHOLESALE
ST ANDREW CATHOLIC HOSPITAL,29566.72,KORLE-BU WHOLESALE
SHALOM CHEMIST,29402.83,KORLE-BU WHOLESALE
HENOPA PHARMACY,29346.20,DOME WHOLESALE
POMAA MEMORIAL PHARMACY,29293.57,ABEKA WHOLESALE
DIANAH CHEMICALS,29284.40,KORLE-BU WHOLESALE
RITA BINEY CHEMICALS,29195.40,TANTRA HILL WHOLESALE
BANS PHARMACY,29129.35,OKAISHIE WHOLESALE
WALLGREEN PHARMACY,29089.04,OKAISHIE WHOLESALE
ROYAL CHARISMA DOME,29069.32,OFANKOR WHOLESALE
JEBBIN PHARMACY,29004.99,KASOA WHOLESALE
PARTNERS PLUS LTD,28934.48,KASOA WHOLESALE
HEALTH KEEPERS PHARMACY,28850.92,AKUKOR FOTO WHOLESALE
CHRIST CHOICE PHARMACY,28623.45,KASOA WHOLESALE
BESTPAGE,28601.28,ABEKA WHOLESALE
RACHEAL CHEMICAL,28589.62,KASOA WHOLESALE
BRIGHT AID PHARMACY,28578.99,DANSOMAN MARKET WHOLESALE
MIDWATCH PHARMACY,28536.42,MALLAM WHOLESALE
BENNETT CHEMICALS,28387.70,TANTRA HILL WHOLESALE
SAFEMED PHARMACY,28114.58,MALLAM WHOLESALE
TOPMED PHARMACY MEDE3,28053.36,DOME WHOLESALE
KIN-ADA PHARMACY,27892.21,ABEKA WHOLESALE
MICHEAL CHEMICAL,27882.59,REPUBLIC WHOLESALE
27TH PHARMACEUTICAL LTD,27688.95,OSU WHOLESALE
VINE MEDICALS,27670.14,MALLAM WHOLESALE
SAM HEALTH PHARMACY,27663.33,TANTRA HILL WHOLESALE
EVA PHARMACY LTD,27522.82,DANSOMAN MARKET WHOLESALE
FAP PHARMACY,27491.93,KORLE-BU WHOLESALE
SEAVIEW HEALTHCARE CENTRE LTD,27460.91,KORLE-BU WHOLESALE
CLASMOK CHEMIST LIMITED,27285.70,OKAISHIE WHOLESALE
GIFT CHEMIST,27241.08,ABEKA WHOLESALE
DES  PHARMACY,27194.45,ABEKA WHOLESALE
ANANE KESSE CHEMICAL SHOP,27174.56,MALLAM WHOLESALE
LA VELCHI PHARMACY,27153.03,TANTRA HILL WHOLESALE
FAMCARE MEDICAL CONSULT,27054.78,KUMASI WHOLESALE
TINA CHEMICAL SHOP,27050.12,MALLAM WHOLESALE
MEGLO PHARMACY,27040.63,AKUKOR FOTO WHOLESALE
PHARMPLUS PHARMACY,26978.29,OSU WHOLESALE
DELONIX CHEMIST LTD,26810.71,KUMASI WHOLESALE
REPUBLIC PHARMACY,26806.83,REPUBLIC WHOLESALE
ENOCH ASEIDU CHEMICAL,26758.49,KASOA WHOLESALE
YASCAR PHARMACY,26748.80,KUMASI WHOLESALE
GEORGINA  CHEMIST,26744.93,DOME WHOLESALE
MEDITECH SHOP,26681.00,AKUKOR FOTO WHOLESALE
VENACAVA PHARMACY LTD,26551.30,KUMASI WHOLESALE
FREEDOM PHARMACY,26403.28,OKAISHIE WHOLESALE
YETRONS DRUG STORE,26388.43,REPUBLIC WHOLESALE
MKG CHEMICAL,26380.14,DOME WHOLESALE
DUNKWA MUNICIPAL HOSPITAL,26380.00,MALLAM WHOLESALE
KRISTO NTI CHEMICAL,26331.01,DOME WHOLESALE
PLASTIC SURGERY,26114.52,KORLE-BU WHOLESALE
PSALMIST MEDICAL CENTRE,26088.60,DANSOMAN MARKET WHOLESALE
PRESTIGE CHEMICALS,26027.72,ABEKA WHOLESALE
MERAKI PHARMACY MALLAM,26019.65,MALLAM WHOLESALE
FAITH AID CHEMIST,25829.61,DOME WHOLESALE
SIBAKON HOSPITAL,25754.00,TANTRA HILL WHOLESALE
M.DIAWUO CHEMIST,25656.24,ASHAIMAN WHOLESALE
PILL CARE PHARMACY,25655.99,REPUBLIC WHOLESALE
HEALTH POINT PHARMACY,25543.48,OKAISHIE WHOLESALE
FRANKEMART PHARMACY,25509.67,TANTRA HILL WHOLESALE
MOLLENKEN'S PHARMACY LTD,25465.00,KUMASI WHOLESALE
HOLY BRIDGE CLINIC,25273.32,NANAKROM WHOLESALE
MKG CHEMICAL,25264.66,TANTRA HILL WHOLESALE
PORCIA  A. BAAH CHEMICAL,25244.23,DOME WHOLESALE
ROLAK PHARMACY,25180.31,OKAISHIE WHOLESALE
TAKE PILL CHEMICAL,25176.29,ASHAIMAN WHOLESALE
WELLBOX PHARMACY,25066.18,ABEKA WHOLESALE
DOMPREH CHEMICAL SHOP,25021.04,DOME WHOLESALE
LIFE CHEMIST,24900.59,OKAISHIE WHOLESALE
JULIET ANTWI CHEMICAL,24881.27,DOME WHOLESALE
ONYX PHARMACY,24870.74,DOME WHOLESALE
UCL RETAIL,24710.20,AKUKOR FOTO WHOLESALE
PROJECT NYAME NSA,24645.69,TANTRA HILL WHOLESALE
LLOYDINA PHARMACY,24616.71,OSU WHOLESALE
PAUL CHEMICALS,24464.00,TANTRA HILL WHOLESALE
BOSTON PHARMACY,24456.34,OKAISHIE WHOLESALE
MERAKI PHARMACY MALLAM,24427.74,OKAISHIE WHOLESALE
JAMES ATTU CHEMICAL SHOP,24375.84,ABEKA WHOLESALE
DROMI CHEMICALS,24312.27,KORLE-BU WHOLESALE
FRANCOK ENT,24275.95,MALLAM WHOLESALE
ROYAL CALEB PHARMACY,24023.61,KUMASI WHOLESALE
NEDA CHEMIST,23963.28,OKAISHIE WHOLESALE
SAMINGO PHARMACY,23850.22,DANSOMAN MARKET WHOLESALE
EYRAM CHEMICALS,23808.97,OSU WHOLESALE
ZOLENNIKS ENTERPRISE,23799.62,OSU WHOLESALE
VICAR PHARMACY,23665.95,ASHAIMAN WHOLESALE
J RAPHA PHARMACY,23659.45,DANSOMAN MARKET WHOLESALE
KINGS VALLEY HOSPITAL,23639.20,KUMASI WHOLESALE
MAKAY MEDICAL CENTRE,23585.95,KORLE-BU WHOLESALE
KASOA RETAIL SHOP,23252.29,KASOA WHOLESALE
HILLS PHARMACY (WHOLESALE),23152.20,KORLE-BU WHOLESALE
Q - BEN PHARMACY,23057.80,OSU WHOLESALE
DECLAN PHARMACY,23013.26,DANSOMAN MARKET WHOLESALE
PRIMROSE PHARMACY,22949.67,OSU WHOLESALE
SIBAKON HOSPITAL,22741.16,OSU WHOLESALE
RYTHEALTH PHARMACY,22695.84,OKAISHIE WHOLESALE
BENATASH PHARMACY,22685.95,DANSOMAN MARKET WHOLESALE
PESCA CHEMIST,22655.25,KORLE-BU WHOLESALE
SEBS CARE PHARMACY,22638.98,ASHAIMAN WHOLESALE
PRIME - DZORWULU,22628.00,TANTRA HILL WHOLESALE
MED-TOUCH PHARMACY,22586.76,OFANKOR WHOLESALE
ROHI PHARMACY,22563.87,KORLE-BU WHOLESALE
BERIJAS ENT,22311.13,ABEKA WHOLESALE
DAVID OSEI-YAW,22149.04,KORLE-BU WHOLESALE
FRANK CHEMICAL,22147.95,NANAKROM WHOLESALE
LANCE PHARMACY,22067.64,REPUBLIC WHOLESALE
ANSA PHARMA - KORLE-BU,21996.18,DANSOMAN MARKET WHOLESALE
LIFE HEALTH PHARMACY,21895.16,DOME WHOLESALE
GOOD START PHARMACY,21858.29,TANTRA HILL WHOLESALE
LESDY PHARMACY,21826.82,DANSOMAN MARKET WHOLESALE
PALEM PHARMACY,21770.45,TANTRA HILL WHOLESALE
NEW CRYSTAL HOSPITAL- TAKORADI,21765.50,ASHAIMAN WHOLESALE
P. K. ABBAN LICENSED CHEMICAL,21762.62,MALLAM WHOLESALE
JEPEARLS CHEMICAL,21728.03,KASOA WHOLESALE
DONNA CARE PHARMACY LTD,21700.15,KUMASI WHOLESALE
XPRESS CHEMIST,21547.18,TANTRA HILL WHOLESALE
ZANBEK  PHARMACY LTD -WHOLESALE,21460.52,KUMASI WHOLESALE
GRACE MOUNTAIN MINISTRY,21447.31,OFANKOR WHOLESALE
DB&T PHARMACY,21435.46,DOME WHOLESALE
TRIPPLE B PHARMACY,21418.59,KORLE-BU WHOLESALE
IMPERIAL CHEMIST,21396.10,OFANKOR WHOLESALE
TOPMED PHARMACY DOME,21353.78,TANTRA HILL WHOLESALE
PRIME PHARMACY-TOP PILL C8,21222.58,TANTRA HILL WHOLESALE
LYDWORD PHARMACY,21157.26,MALLAM WHOLESALE
NOLAN PHARMACY,21156.72,OFANKOR WHOLESALE
JANISEL PHARMACY,21127.40,NANAKROM WHOLESALE
HILLS FERTILITY CENTRE,21121.58,KORLE-BU WHOLESALE
PREMIER HEALTHCARE LTD,21115.04,KORLE-BU WHOLESALE
QUEEN'S CHEMICAL,20875.00,DANSOMAN MARKET WHOLESALE
VIOLET'S MEDICAL CENTRE,20636.51,DOME WHOLESALE
ASURUPHARMA LTD,20587.48,KUMASI WHOLESALE
GODS WORD CHEMICALS,20539.15,OFANKOR WHOLESALE
NANA ACHIAA JFL CHEMICAL,20451.27,OFANKOR WHOLESALE
WELLCHECK PHARMACY,20406.80,ASHAIMAN WHOLESALE
ANCIENT PLUS CHEMICAL,20293.41,DOME WHOLESALE
NOLAN PHARMACY,20219.73,NANAKROM WHOLESALE
CYNDEX PHARMACY,20218.51,MALLAM WHOLESALE
SAMSOP PHARMACY,20068.89,TANTRA HILL WHOLESALE
PRIME PHARMACY -TOP PILL 25,20041.52,TANTRA HILL WHOLESALE
METROPHARM LTD,19998.33,MALLAM WHOLESALE
MON AMIE PHARMACY,19957.30,NANAKROM WHOLESALE
BEKED PHARMACY LTD,19946.61,KUMASI WHOLESALE
ALPHA GLORY PHARMACY,19941.14,MALLAM WHOLESALE
GM PHARMA,19907.26,PATASE WHOLESALE
GIFTY MFUM CHEMICAL,19859.98,TANTRA HILL WHOLESALE
SAVERS LIFE PHARMACY LTD.,19797.80,KASOA WHOLESALE
FRANK LEKEY O.T.C,19752.91,ASHAIMAN WHOLESALE
ESHUN CHRISTIANA CHEMICAL SHOP,19698.87,MALLAM WHOLESALE
ANSU MEMORIAL PHARMACY-ASHONGMAN ESTATE,19619.73,DOME WHOLESALE
LENARLES PHARMACY,19557.37,REPUBLIC WHOLESALE
ALFAT CHEMIST,19514.76,OSU WHOLESALE
KUPAPHARMA PHARMACY,19494.15,MALLAM WHOLESALE
LEMOND MEDICAL CENTRE,19429.09,KORLE-BU WHOLESALE
KAM-AID PHARMACY,19375.81,KORLE-BU WHOLESALE
ZINOMA PHARMACY,19353.29,DANSOMAN MARKET WHOLESALE
HARMONY CARE CHEMIST,19284.16,KASOA WHOLESALE
TRIPPLE B PHARMACY,19205.19,DANSOMAN MARKET WHOLESALE
ARISTOMED PHARMACY LTD,19171.05,MALLAM WHOLESALE
R.HOLM CHEMICAL,19121.26,DOME WHOLESALE
EDEN FAMILY HOSPITAL,19018.07,REPUBLIC WHOLESALE
JULIANA KUDOR CHEMICAL,18976.48,KASOA WHOLESALE
HEARTLAND PHARMACY LTD,18963.10,NANAKROM WHOLESALE
ADD PHARMA LIMITED,18878.24,MALLAM WHOLESALE
URGENT CARE HOSPITAL,18799.49,ABEKA WHOLESALE
XCEPTION HEALTHCARE LTD,18770.02,MALLAM WHOLESALE
NEW LIFE CHEMICAL,18733.91,KASOA WHOLESALE
ALBERTA CHEMICAL SHOP,18712.15,DANSOMAN MARKET WHOLESALE
D & H PHARMACY LTD,18681.74,KORLE-BU WHOLESALE
PREMIER MEDICAL,18657.28,KORLE-BU WHOLESALE
ESTEL CHEMIST LTD - WHOLESALE,18605.14,KUMASI WHOLESALE
QUASIPHARMA LTD,18581.11,NANAKROM WHOLESALE
"FRANEVA CHEMIST LIMITED, KANESHIE",18574.56,KORLE-BU WHOLESALE
HEALTH PORTE PHARMACY,18514.42,DOME WHOLESALE
ADENTA PHARMACY,18454.76,NANAKROM WHOLESALE
ASHBYS PHARMACY LTD,18301.27,PATASE WHOLESALE
FIGEE-A PHARMCY LTD,18155.68,KASOA WHOLESALE
EDIESTAL PHARMACY LTD,18144.61,MALLAM WHOLESALE
MAIN FOCUS PHARAMCY,18066.81,ASHAIMAN WHOLESALE
BRIEF ASSESSMENT PHARMACY    KBTH,18066.31,KORLE-BU WHOLESALE
PHARMACHEM,18023.28,TANTRA HILL WHOLESALE
LIGHT PHARMA GALILEA,17985.59,KORLE-BU WHOLESALE
MAWUFEMOR DRUG STORE,17931.22,KASOA WHOLESALE
DRUG BANK PHARMACY,17920.73,KORLE-BU WHOLESALE
RICOMONS PHARMACY LTD - WHOLESALE,17878.50,KUMASI WHOLESALE
RONEL PHARMACY,17811.49,KORLE-BU WHOLESALE
KINGELA CHEMICALS,17771.31,MALLAM WHOLESALE
TRUST HOSPITAL,17706.69,TANTRA HILL WHOLESALE
ACCRA SMALL SET TIME,17686.80,ABEKA WHOLESALE
ANILIUV CHEMIST,17683.42,NANAKROM WHOLESALE
GIBEE PHARMACY,17519.94,MALLAM WHOLESALE
KIDER PHARMACY,17478.58,TANTRA HILL WHOLESALE
OFAKO PHARMACY KASOA,17371.08,KORLE-BU WHOLESALE
CRYSTAL-X,17356.67,MALLAM WHOLESALE
CERICA DIAGNOSTIC SERVICE,17350.11,DANSOMAN MARKET WHOLESALE
TOFFEY PHARMACY LIMITED,17341.82,DOME WHOLESALE
KLEENMED PHARMACY - CAPE COAST,17236.40,MALLAM WHOLESALE
MOSKWAM HEALTHLANE-SUNYANI,17190.00,KUMASI WHOLESALE
M. ASARE OTC,17160.00,MALLAM WHOLESALE
JEPEARLS CHEMICAL,17150.83,MALLAM WHOLESALE
BEN K PHARMACY,17143.14,TANTRA HILL WHOLESALE
HEALTH PORTE PHARMACY,17040.31,MALLAM WHOLESALE
ASANTESON CHEMICAL,17012.54,TANTRA HILL WHOLESALE
OLIVE CHEMICALS,16980.76,NANAKROM WHOLESALE
CHF OASIS PHARMACEUTICAL LTD,16907.15,TANTRA HILL WHOLESALE
VYTAL PHARMACY,16900.56,OFANKOR WHOLESALE
ROCHESTER HEALTH,16861.59,KORLE-BU WHOLESALE
PRIME PHARMACY-COMMUNITY 25,16833.21,TANTRA HILL WHOLESALE
BESTCARE PHARMACY,16725.70,MALLAM WHOLESALE
BEBAL PHARMACY,16652.80,MALLAM WHOLESALE
WELCOME PHARMACY,16544.22,REPUBLIC WHOLESALE
SHILO CHEMICAL,16497.21,KASOA WHOLESALE
PROVIDENCE SPECIALIST HOSPITAL,16414.95,TANTRA HILL WHOLESALE
GHANA  REVENUE  AUTHORITY  (G R A ),16375.35,OSU WHOLESALE
GOOD START PHARMACY,16361.36,ABEKA WHOLESALE
ADOM SUMMIT PHARMACY,16356.51,KASOA WHOLESALE
MARIDEC PHARMACY,16331.08,PATASE WHOLESALE
PEACE CHEMICAL SHOP,16272.18,MALLAM WHOLESALE
IKANN CHEMIST LTD.,16167.62,OKAISHIE WHOLESALE
MOUNT OLIVET METHODIST CHURCH,16035.55,KORLE-BU WHOLESALE
JILIS PHARMACY,16019.04,KORLE-BU WHOLESALE
TOPMED PHARMACY MEDE3,15985.16,TANTRA HILL WHOLESALE
GOOD AIDE PHARMACY,15919.33,MALLAM WHOLESALE
EXPRESS CARE PHARMACY SPINTEX,15880.58,OKAISHIE WHOLESALE
ASAFRE CHEMICALS,15855.95,DANSOMAN MARKET WHOLESALE
HAMDIYAT MOHAMMED CHEMICAL SHOP,15855.30,ABEKA WHOLESALE
POINT OF CARE PHARMACY,15827.32,DOME WHOLESALE
TRINITY MEDICAL CENTER,15808.98,ASHAIMAN WHOLESALE
ASEDA MATERNITY HOME,15635.70,MALLAM WHOLESALE
SUPREME SPECIALIST HOSPITAL,15625.31,MALLAM WHOLESALE
RABS PHARMACY LTD,15563.00,DOME WHOLESALE
GHACHN ALTERNATIVE HOSPITAL,15562.52,OSU WHOLESALE
ESTHER ADU POKU CHEMICAL,15548.31,DOME WHOLESALE
TARGET PHARMACY,15531.58,TANTRA HILL WHOLESALE
FAMILY WISE PHARMACY,15508.34,OKAISHIE WHOLESALE
OPAC PHARMACY LIMITED,15457.16,OSU WHOLESALE
CARMOS PHARMACY,15450.14,TANTRA HILL WHOLESALE
HEALTH LIGHT PHARMA KORLE BU,15373.46,KORLE-BU WHOLESALE
MAYDAY PHARMACY,15367.83,OFANKOR WHOLESALE
FELINA PHARMACY,15353.74,KORLE-BU WHOLESALE
DEVIN PHARMACY,15317.39,KASOA WHOLESALE
LLOYDINA PHARMACY,15299.20,TANTRA HILL WHOLESALE
CROWN MEDICAL CENTRE,15265.60,KORLE-BU WHOLESALE
HEALTHBOX PHARMACY,15209.55,MALLAM WHOLESALE
FOUNDATION PHARMACY,15175.22,DOME WHOLESALE
GLAY PHARMACY LTD,15077.03,OKAISHIE WHOLESALE
SINA PHARMACY,15037.45,MALLAM WHOLESALE
GREAT PROVIDER,14989.66,KORLE-BU WHOLESALE
SOLIS HOSPITAL,14984.99,OKAISHIE WHOLESALE
SARAH CHEMICALS,14967.88,ABEKA WHOLESALE
NUFFIELD CLINIC,14963.66,OSU WHOLESALE
COBEST PHARMACY,14961.33,KORLE-BU WHOLESALE
BECAUSE HE LIVES PHARMACY,14935.00,OKAISHIE WHOLESALE
GAEC HOSPITAL,14812.24,DOME WHOLESALE
TARGET PHARMACY,14793.97,DOME WHOLESALE
OPHELIA CHEMIST LTD,14774.33,KORLE-BU WHOLESALE
ZULIYA PHARMACY,14758.48,NANAKROM WHOLESALE
SEED PHARMACY LIMITED,14669.65,NANAKROM WHOLESALE
CARE PLUS PHARMACY LTD-WHOLSALE,14666.60,DOME WHOLESALE
KWABENA KORANTENG,14605.85,OKAISHIE WHOLESALE
MALB PHARMA LIMITED,14571.67,TANTRA HILL WHOLESALE
HEALTHSTYLE PHARMACY OSU,14525.84,OSU WHOLESALE
RADIMED CHEMIST,14524.31,KORLE-BU WHOLESALE
DRUG COM PHARMACY,14515.60,NANAKROM WHOLESALE
DREWS PHARMACY,14507.03,TANTRA HILL WHOLESALE
MAWU ENA PHARMACY,14504.14,MALLAM WHOLESALE
FRIMPONG BOATENG MEDICAL CENTRE-NKAWIE,14430.90,KUMASI WHOLESALE
LYDWORD PHARMACY,14421.35,OFANKOR WHOLESALE
NATIONAL AMBULANCE SERVICE,14416.16,KORLE-BU WHOLESALE
SERGEN PHARMACY,14410.47,ABEKA WHOLESALE
HEALTH KEEPERS PHARMACY,14380.31,DANSOMAN MARKET WHOLESALE
APP PHARMA,14378.46,KORLE-BU WHOLESALE
FINCO PHARMACY,14364.46,OKAISHIE WHOLESALE
LOD  MEDICAL &  FERTILITY CENTER,14299.29,NANAKROM WHOLESALE
DEVIN PHARMACY,14273.14,MALLAM WHOLESALE
TIKVA MEDICAL & DENTAL CLINIC,14261.76,DOME WHOLESALE
JOAN CHEMICAL,14218.24,NANAKROM WHOLESALE
SAMSOP PHARMACY,14204.80,REPUBLIC WHOLESALE
MEDGEM PHARMACY LTD,14199.71,REPUBLIC WHOLESALE
SR BOATENG CHEMICALS,14184.76,OFANKOR WHOLESALE
NINAMOND PHARMACY,14171.70,MALLAM WHOLESALE
BENALICE PHARMACY,14101.90,OFANKOR WHOLESALE
MAPEL-MART PHARMACY,14070.62,ASHAIMAN WHOLESALE
NOLAN PHARMACY,13949.52,OKAISHIE WHOLESALE
RAMED SC SOLUTION LTD,13892.22,MALLAM WHOLESALE
SENGA CHEMICALS,13878.56,DANSOMAN MARKET WHOLESALE
SADASKO PHARMACY,13875.97,REPUBLIC WHOLESALE
DARKWA MEMORIAL CLINIC,13842.90,ASHAIMAN WHOLESALE
NOLAN PHARMACY,13782.83,TANTRA HILL WHOLESALE
OAK TREE PHARMACY,13774.71,OSU WHOLESALE
PRIME PHARMACY-COMMUNITY 2,13746.21,TANTRA HILL WHOLESALE
J.A PHARMACY,13721.22,TANTRA HILL WHOLESALE
PHILTA PHARMACY,13698.66,KORLE-BU WHOLESALE
PRIME PHARMACY-TIWA,13696.65,TANTRA HILL WHOLESALE
ROA CHEMICAL,13640.09,TANTRA HILL WHOLESALE
ELKUBICOM CHEMICALS,13596.26,DANSOMAN MARKET WHOLESALE
PHARMACIE J-MIMSHAK,13537.73,MALLAM WHOLESALE
YVONNE CHEMICAL,13529.85,DOME WHOLESALE
ZEDORS PHARMACY MEDIE(WHOLESALES,13480.93,OKAISHIE WHOLESALE
KOFI SASU CHEMICAL,13477.12,OFANKOR WHOLESALE
